Quarter,AVLSF1,BERYLSF1,BOMENSF1,BROKENH1,COLEASF1,CRWASF1,DARLSF1,FINLYSF1,GNNDHSF1,GOONSF1,GULLRSF1,HILLSTN1,JEMALNG1,JUNEESF1,LIMOSF11,LIMOSF21,MANSLR1,METZSF1,MOLNGSF1,MOREESF1,NEVERSF1,NEWENSF1,NEWENSF2,NYNGAN1,PARSF1,SEBSF1,STUBSF1,STUBSF2,SUNRSF1,SUNTPSF1,WAGGNSF1,WELLSF1,WELNSF1,WRSF1,WSTWYSF1,WYASF1
2020-03-31,0.0,0.0007058699334367979,0.0530380207029324,0.39979053592717295,0.14457034804414282,0.0,0.0,0.02495659171607223,0.0,0.0,0.011901584029717749,0.0,0.0,0.0,0.0,0.015061507841835908,0.006591975866378608,0.0,0.0,0.0,0.0024742315159770323,0.0,0.0,0.00020541827641251675,0.0034058710292244054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022619367252907363,0.0,0.0
2020-06-30,0.0,0.002173245604447316,0.0,0.1099052841590269,0.018840255957826457,0.0,0.0,0.05068296249898585,0.0,0.006253939611361892,0.0380553027292031,0.0,0.0,0.0,0.0,0.006322563609582388,0.007815627638828149,0.0,0.0,0.0,0.027432094976635346,0.0,0.0,0.0023580963345076755,0.00221633050035952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01713163756384073,0.0,0.0
2020-09-30,0.0,0.0032498739015234257,0.007963937558228218,0.08020206850830569,0.0,0.0,0.34045138656736473,0.0023701973228426043,0.0,0.002666658915771558,0.041621606690777524,0.0,0.0,0.0,0.0,0.0,0.017746669161863293,0.0,0.0,0.0,0.01721084497175107,0.0,0.0,0.0014694365463274739,0.000696498388075395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00848071536842876,0.0,0.0
2020-12-31,0.0,0.013835016509075704,0.02122046992232718,0.05408690100613067,0.030572004728597557,0.0,0.06431895679099964,0.07294864869410023,0.0,0.002130362036079414,0.06949425866274062,0.0,0.0,0.0,0.05783018385410876,0.05171717148505328,0.05636273313722584,0.0,0.02687870182678964,0.0,0.006771947850078064,0.0,0.0,0.0026052825244240463,0.0024173879958547806,0.0,0.0,0.0,0.0159077845199318,0.0,0.0,0.00028681704134092545,0.0,0.0038205846310050973,0.0,0.0
2021-03-31,0.0,0.16345488749130266,0.0026999931464787297,0.014563997723462396,0.01232242058414823,0.0,0.11939326912401871,0.009652354990376866,0.0,0.024175515118201707,0.015705593456765365,0.0,0.42112162898312955,0.0,0.09824600329810151,0.1511832174214326,0.34026648337564236,0.0,0.06473909029157343,0.0,0.009760536706255318,0.0,0.0,0.013675951653908114,0.020250111489383937,0.0,0.0,0.0,0.0970075081652424,0.0,0.0,0.026427401605519596,0.0,0.0,0.0,0.0
2021-06-30,0.0,0.0,0.0,0.08716661641778012,0.05196691345609683,0.09233698987382499,0.07356643385527473,0.03206948648859198,0.4937647308544574,0.0,0.0,0.0,0.08378066485963342,0.0,0.060468091674443225,0.09603233803553757,0.05814656029624554,0.0,0.0682249827464585,0.0,0.003988242635301509,0.0,0.0,0.002226982101028896,0.0,0.0,0.0,0.0,0.053456286821776944,0.0,0.0,0.011158371711898263,0.0,0.022543254290209314,0.0,0.0
2021-09-30,0.0,0.012959266918830759,0.0,0.13389735541586745,0.16889460965777003,0.28632207703807366,0.3317928059217542,0.0934064128640989,0.00812510425671864,0.011451769787175992,0.024547774746333628,0.0,0.02348785839334866,0.0,0.2825160932140929,0.24880061479889448,0.19093566538328677,0.0,0.325273292213904,0.0,0.01681583239960316,0.0,0.0,0.015184240469865107,0.037527349005625155,0.0,0.0,0.0,0.18664765220142387,0.48239231395196613,0.0,0.008459989792415468,0.0,0.07579749212934861,0.0,0.0
2021-12-31,0.0,0.07259570086181744,0.0,0.15178701659337512,0.0772198417892066,0.14346923255334076,0.22080122759610799,0.008868923064429435,0.06830333227850238,0.1474150283850001,0.08466806718831199,0.02506445815779179,0.0605661682812606,0.17004600628693356,0.3562717501188737,0.35822667254020457,0.48135097379174385,0.0,0.5501393846899392,0.0,0.036865077480388364,0.0,0.0,0.027617973280926633,0.1584505990442221,0.04460961169666222,0.0,0.0,0.2205447452867877,0.04528452514888215,0.0,0.019378003525153176,0.0,0.015860151594492167,0.0,0.0
2022-03-31,0.0,0.04099157797336028,0.0,0.030317538050579906,0.030118874897496428,0.22729189603609856,0.01726271646951194,0.0,0.09691444877722599,0.2027292616986257,0.02282104823186537,0.024964479893766933,0.03715917174258232,0.0,0.16064413989107296,0.1298966166847686,0.594072772342014,0.2913251410553991,0.6201083760142854,0.008665661676370728,0.02307847382634176,0.0,0.0,0.04496344508347916,0.19932336408624673,0.03347874402113615,0.0,0.0,0.16142078702980844,0.09561116505107892,0.007428763739275479,0.026518580755737098,0.0,0.03132739515998151,0.0,0.0
2022-06-30,0.0,0.015019993438752599,0.0,0.02041917403365312,0.01388236144640187,0.008076576005653369,0.013356999368952405,0.0,0.033596838344158386,0.06428738500316933,0.008141184288887882,0.026012214140373913,0.037957799112727675,0.0,0.11610252943277066,0.12625852451376152,0.3717845686907474,0.06404913731271067,0.3527430803664495,0.003402511791934848,0.012158242591722379,0.0,0.0,0.018125820573595686,0.07196727786358115,0.008336385330013352,0.0,0.0,0.13077477674174454,0.07290026178471432,0.0,0.02649861883550375,0.0,0.037633209708227366,0.0,0.0
2022-09-30,0.0,0.035136501136084686,0.0007313354660472005,0.034385216359831716,0.01019301080401136,0.1314522003208367,0.0030274494301471,0.0,0.0634304957966636,0.1123505188317585,0.03820596561307543,0.002365167770228327,0.053712411657060755,0.03847818490772836,0.15723633554953387,0.17553296122738582,0.32996694197219145,0.02482725997921209,0.33427542029035473,8.61143616961435e-05,0.021743570719476413,0.0,0.0,0.014042944186152595,0.09125481400061553,0.011720907099570077,0.0,0.0,0.13954594804453635,0.05583172375892409,0.050856374847037644,0.013408924845438763,0.0,0.025453612289999317,0.0,0.0
2022-12-31,0.0,0.03957601000707478,0.03336503815422909,0.048248393714432014,0.06223436468893084,0.25156770555331065,0.0897210949482723,0.012674557636735084,0.143924130943474,0.29353516458801787,0.0790666915599475,0.0579133807307155,0.10871773667659168,0.047177650641975544,0.2179668574484106,0.18818823045149324,0.6775815242722412,0.0,0.6650228516159353,0.00414923845290438,0.020141788654339354,0.0,0.08516649990036895,0.026146615378270455,0.24509907153419452,0.032084623382311994,0.0,0.0,0.1904384315524631,0.16071563944396317,0.039870619722993106,0.02747483473635215,0.0,0.016899710472832785,0.04413266450577735,0.0
2023-03-31,0.6591031803677823,0.016369630108672206,0.057633260035862444,0.09662044854859819,0.05252686024613917,0.07403597847932475,0.047087905998216106,0.006939764718142616,0.1356515784032417,0.26630877806394737,0.029634344266138868,0.019065425339379494,0.07025144277141815,0.08279144797612936,0.16779222722048137,0.12922584461149456,0.6495663138998391,0.0,0.539731312549272,0.013634712803052396,0.02413823063139231,0.0,0.10010045513263677,0.033743960664642914,0.20586045544104126,0.09321270749306343,0.0,0.0,0.1742583653306552,0.12149946291909486,0.07005866996023935,0.025338028964025483,0.0,0.006813829050849152,0.04661420175899522,0.0
2023-06-30,0.07326565612524105,0.03436830732206486,0.013176522336981744,0.031722778051456846,0.028987180264337553,0.027312085099529093,0.012992056487722725,0.009732753857464305,0.09115800787499861,0.07513638125957611,0.012700470097381955,0.03311389734610226,0.04992958843121098,0.02058123681496571,0.06765984841283978,0.06834262030317961,0.3018650162655281,0.010722132556728603,0.34639504907050667,0.0032157872213043337,0.026883791493680254,0.09118986366731208,0.06624803181075423,0.024405594872338288,0.06237652931108495,0.021253571839640162,0.0,0.0,0.058099426814644306,0.04481222293038867,0.043974644876762614,0.008547103292732339,0.0,0.027950971813100578,0.029989975694530213,0.5
2023-09-30,0.0659741538164198,0.09313849679567066,0.013652993234874344,0.0873593618872478,0.022862749427643103,0.062619353187226,0.029698005862481502,0.02626774831735501,0.11378977491556497,0.10590060094215958,0.048971425777281974,0.17090930165876683,0.08945977090671642,0.09186452072361184,0.11305763108589673,0.1453265238223782,0.4571127658002768,0.0075687973662462715,0.454830487067742,0.005601445498928714,0.021817266943521263,0.17543063614255527,0.15136402125421866,0.007428216483927219,0.07401183548464108,0.061102741070418465,0.0,0.0,0.08182758136308599,0.13171970445625103,0.07579227345011752,0.03553783439255198,0.0,0.022459813650076876,0.06950811682727531,0.4117687570533256
2023-12-31,0.08503156072430218,0.06062959231090603,0.24807706973664134,0.16908997664578507,0.03845702098415993,0.13782229681224023,0.11655749339007371,0.13338221287265095,0.22344946927461318,0.2082815001250874,0.056683826150331296,0.2296064242605791,0.1205111304805222,0.2576294558173875,0.22941505582409405,0.20104419846189658,0.6354996783323154,0.001634768838000622,0.6703348972405097,0.005621703651688237,0.03338044778088656,0.11163464830981362,0.16054276926124422,0.019757522733533817,0.1901667213338698,0.2903222122239907,0.0,0.0,0.18058002224960779,0.20261440263845143,0.2867909473490191,0.04569558452098177,0.0,0.034736313844567324,0.23017858267860858,0.26450796531418463
2024-03-31,0.02527953225904689,0.01267592328720879,0.17356579294077812,0.11178233002670601,0.018327228692744946,0.13687649700551996,0.03549789737593334,0.05426926743409244,0.11288856473519904,0.10922256825047127,0.00995583227984187,0.08669249003155133,0.03854905471376846,0.16886784335549299,0.08597209482899593,0.09320142954226474,0.5138269925337378,0.0002629114616807815,0.6619115782526372,0.004923076699664408,0.02476008331979329,0.011260338605355025,0.0035168605879537518,0.0191130626800472,0.12143978520301957,0.25086379371179257,0.0,0.0,0.07930672113155202,0.062305328925734704,0.17114698416801244,0.011678973909802104,0.0,0.044309851388758204,0.18271237186678557,0.21755756970930384
2024-06-30,0.001987237387849894,0.017257644459048538,0.0118759895130639,0.04218046442163992,0.004640691319903301,0.008102241216163764,0.011858467968138386,0.0006852574317691706,0.0489836749365804,0.06515767013839924,0.004879325530536938,0.05857817166851709,0.007259924927112471,0.058765636999767445,0.023886172811596773,0.03532914858357927,0.3485271814497919,0.01085867082928249,0.4049888807191365,0.015936233700409974,0.0061256640177111965,0.058457344255479105,0.03948807077001171,0.008426338201606653,0.05429374286704469,0.06628709456806847,0.0,0.0,0.03209551018049517,0.008139055150785501,0.04914241991922996,0.005111913420672964,0.0,0.028543487248815835,0.028409652687334197,0.08531085151858786
2024-09-30,0.15718500779086952,0.2083674648314373,0.02561567903019879,0.09181267122214587,0.007593300804075054,0.08158565411775875,0.15155725418464472,0.12319237061501698,0.17296574008250876,0.23345837513050116,0.18457404475627814,0.3350236804200808,0.099314308539597,0.20107967385381587,0.1945089666139267,0.2589305568006076,0.5277492995255857,0.17244209019190415,0.4645503131651878,0.007745944745455757,0.08986369434302277,0.24315286279312476,0.2097950541951762,0.0056943076335512766,0.07366229146093395,0.1931707940682822,0.0,0.0,0.11475813119369893,0.1002877498827518,0.21173275894069232,0.07322140334171001,0.047894444085054944,0.03673003316749135,0.16142732618743716,0.11041888097118413
2024-12-31,0.1381531964417605,0.09636884936393764,0.20225238726927786,0.24322639434989946,0.028865336621267446,0.09169328672357968,0.05304532688547481,0.08249400793801487,0.24193768738829668,0.4238670926108481,0.18764180043314793,0.3509090965356906,0.12691454265016344,0.35022291794254323,0.3140175249579943,0.3055984728025346,0.7543383280808837,0.04370863605478148,0.7874613417991669,0.002885453551996986,0.07391349040937134,0.16870700734866184,0.15916898596354012,0.03032490005234878,0.4031917606514186,0.36575827839471187,0.0,0.07787058529677304,0.1357875266515005,0.1468360714846214,0.3331662555847462,0.034476440367693595,0.11804232772167123,0.028259183069323734,0.2686397937928695,0.2606644163784897
