Quarter,BANGOWF1,BANGOWF2,BOCORWF1,BODWF1,COLWF01,CROOKWF2,CROOKWF3,CRURWF1,FLYCRKWF,GULLRWF1,GULLRWF2,GUNNING1,RYEPARK1,SAPHWF1,STWF1,TARALGA1,WOODLWN1,WRWF1
2020-03-31,0.0,0.0,0.008081848463024621,0.003989938732994025,0.0,0.007540722328486349,0.0,0.0,0.0,0.00887335832882119,0.0,0.003044325358080413,0.0,0.003973827327598434,0.00018238993589392294,0.0,0.0013532089630562405,0.00775589610177263
2020-06-30,0.0,0.0,0.0016060212776636273,0.0020727488855273313,0.0,0.0,0.0,0.0,0.0,0.01494036155619538,0.4976185445949751,0.0021150973735530876,0.0,0.0039058892721426375,0.003503959434717152,0.0,0.0007989355731881087,0.013019147896074612
2020-09-30,0.0,0.0,0.000352990240436446,0.00642397357009683,0.0,0.0,0.0,0.0,0.0,0.007959440708546817,0.09099399305815703,0.001406717485635367,0.0,0.004263442056584021,0.05123155520313383,0.0016857285403293343,0.0007475998614109303,0.004153586906478157
2020-12-31,0.0,0.0,0.010874109639920415,0.002584516042950513,0.019959300750020725,0.015524597506036075,0.0,0.0013447241436188584,0.0,0.029070415239385694,0.059617425560312576,0.003386071671345414,0.0,0.002087692430187693,0.01452251159233342,0.012493732316375517,0.008304003737309662,0.005562051458303241
2021-03-31,0.013778907373479532,0.0,0.004719285348194768,0.00495804640223696,0.006627978347583219,0.00442583216870529,0.0,0.014310571795699611,0.0,0.00592519573614958,0.016717341156468724,0.0018349567797437683,0.0,0.0013804494855901295,0.00932110834205524,0.0023095041838545605,0.008708475370172941,0.005116834138019666
2021-06-30,0.0,0.490767972097229,0.0003067591024071836,0.002666999573473383,0.003987725096087691,0.0003125758188909922,0.0,0.009746500278803638,0.0,0.0002285642922009723,0.005997867834349746,0.0018305529336077875,0.0,0.0012769764582540866,0.0061773136599466705,0.0,0.004559774064971878,0.023703750346485086
2021-09-30,0.080785597600051,0.5,0.0022782537816116166,0.010206142135086638,0.0011141707207102947,0.0009430562104781881,0.0,0.010966055419562415,0.0,0.0,0.02645244236186206,0.0011876118508187261,0.0,0.0025404125251861087,0.04888317695284872,0.01891875375690788,0.02506584860437644,0.02422034489309899
2021-12-31,0.025092126275544913,0.5,0.002997566063674295,0.009680819785606865,0.0,0.003348046650912595,0.0,0.013068003473737044,0.0,0.0017371981392528824,0.1504190942449608,0.002537891841005946,0.0,0.000498569961231432,0.05530193697986796,0.0,0.010228801288346023,0.028572124452633907
2022-03-31,0.0516778396119455,0.042175568003580355,0.013435353211613155,0.006233031119117105,0.0,0.016256045520938955,0.0,0.010451424094502282,0.0,0.004678145008123802,0.01878752126454153,0.0036775970688218695,0.0,0.00046865589748801284,0.011737742126394002,0.0,0.00035067103670727295,0.014725699781776846
2022-06-30,0.015764754108754664,0.021817427136676004,0.004754540921711903,0.0028426924353063265,0.0,0.004910449652249516,0.0,0.0017277866668157227,0.0,0.0,0.005021553302722914,0.0015882496415763336,0.0,0.0012198244289033378,0.0069340822806387425,0.0,0.00035457451706566445,0.00895151703331476
2022-09-30,0.007525546268331018,0.00986205150194508,0.0051749324010151865,0.004891725574561967,0.0033563882480269758,0.0004884642740550227,0.0,0.0018784868053238757,0.0,0.0,0.00971063175456044,0.0013179406027237217,0.0,0.0034112450906158553,0.018688489475845116,0.0,0.00012913325124874753,0.017400092652419485
2022-12-31,0.057190511078058504,0.07860592299981273,0.014462353217634227,0.0069478999015126774,0.008788668722289117,0.01728062962415977,0.0,0.009521283358593147,0.0,0.01756215801770622,0.037454818180343685,0.00953538855805014,0.0,0.0010771201237983474,0.03080903222676501,0.870256884650381,0.0029858721887779938,0.023921436608531743
2023-03-31,0.03403085202560996,0.0742768115765009,0.007754580602741812,0.005683538590806392,0.007744349491483726,0.014986053051907366,0.0,0.007350147722867795,0.0,0.00837776660939682,0.0189891578322694,0.013313051654077701,0.0,0.001047008507385927,0.021951394843744865,0.0008114537046024495,0.008207697723703888,0.041593924961737305
2023-06-30,0.011390635026604867,0.04090366783575572,0.004326236519960225,0.0034332608104788997,0.0022231269045186464,0.006909189853451014,0.0,0.0026146599443640506,0.0,0.004410775067616002,0.018946891101665364,0.0038923446147521856,0.0,0.002477513836663836,0.01852679903343235,0.004095157958154738,0.012008191083448638,0.03425488509090824
2023-09-30,0.018435763270470584,0.09203437405136417,0.0032181679700059584,0.005702215510734576,0.0,8.881109910940932e-05,0.0,0.00590221498792487,0.0779193924841104,0.0006826303503840725,0.019572872977708156,0.006919499828019315,0.0,0.0026814476757959227,0.018453887629485966,0.0,0.017454039096476914,0.017337096612111802
2023-12-31,0.053838237587715,0.18097347417068654,0.0045382433360751095,0.01651583331912032,0.003978277986010359,0.003895927097968266,0.0,0.011734382289513734,0.023830208267386244,0.0018830618788123754,0.03414021720687588,0.0351457769432304,0.009507959513760822,0.002483498285601682,0.04958693546500925,0.0,0.03194542990638671,0.02917640648964237
2024-03-31,0.045890495411617716,0.06544815320829966,0.009109271962305154,0.014074429863845661,0.005663911431203816,0.009585158929318216,0.0,0.015041054566427015,0.0378911762883013,0.0,0.004387744986695141,0.0175468764690625,0.0070856890442936304,0.0011079824856892184,0.046519710288028704,0.0,0.0065618617131094625,0.011071720801389962
2024-06-30,0.013125617703606096,0.030797179150591436,0.0027510103434817967,0.006650221922386845,0.004742304954704735,0.002076364771762207,0.0,0.0024871131463286567,0.004566210799018755,0.00766445009552863,0.007928765560798912,0.009672148900433997,0.005512176492763143,0.004651886020131002,0.009809296987371763,0.0,0.00030246640996201,0.015079518773003286
2024-09-30,0.09123426002828194,0.15618370779638424,0.0029510980134729303,0.0075443035333857544,0.0,0.020131585936080887,0.020878277874915474,0.061227750739010434,0.06771718876303645,0.00014377199195725332,0.08080149928127889,0.003476508858737626,0.006746377699308415,0.0046951325976630764,0.059726549293970144,0.0,0.03986292486181897,0.03879443572306296
2024-12-31,0.05683595914791306,0.1760620568878255,0.02227836028047281,0.021259818435996114,0.02067846556894415,0.045831899611074256,0.042053393800979944,0.024947322029687302,0.07384110444390413,0.025251143757049843,0.09389977131178195,0.026985790136936028,0.02860377752119314,0.0030528279243673406,0.07024058401793432,0.0,0.006958052832731543,0.04984285886535522
