Month,Total demand
2020-01-31,1268.798057795699
2020-02-29,1207.5707243773945
2020-03-31,1170.3075436827958
2020-04-30,1161.610329861111
2020-05-31,1331.5518391577061
2020-06-30,1509.3304039351851
2020-07-31,1514.5685237455195
2020-08-31,1417.5509711021505
2020-09-30,1169.3511041666666
2020-10-31,1095.251132392473
2020-11-30,1134.0933634259259
2020-12-31,1061.9078707437277
2021-01-31,1185.2130936379929
2021-02-28,1198.9344469246032
2021-03-31,1130.0405129928315
2021-04-30,1163.9693912037037
2021-05-31,1298.3197524641578
2021-06-30,1432.8861550925926
2021-07-31,1463.583010752688
2021-08-31,1320.7136984767026
2021-09-30,1154.9040625
2021-10-31,1002.0190434587813
2021-11-30,1013.8875706018517
2021-12-31,1065.0450728046594
2022-01-31,1312.3653001792115
2022-02-28,1275.660394345238
2022-03-31,1261.3318806003583
2022-04-30,1223.3847881944446
2022-05-31,1381.7528819444444
2022-06-30,1581.96921875
2022-07-31,1622.7227609767026
2022-08-31,1532.5643369175627
2022-09-30,1356.5583472222222
2022-10-31,1137.5924910394265
2022-11-30,1133.1898599537037
2022-12-31,1135.0044914874552
2023-01-31,1250.2762656810037
2023-02-28,1302.1036867559526
2023-03-31,1166.760458109319
2023-04-30,1172.7734074074074
2023-05-31,1443.0731552419356
2023-06-30,1536.539582175926
2023-07-31,1539.0534150985663
2023-08-31,1371.1145150089606
2023-09-30,1107.755425925926
2023-10-31,1081.7471326164875
2023-11-30,1056.1001840277777
2023-12-31,1103.157041890681
2024-01-31,1203.836359767025
2024-02-29,1252.242337164751
2024-03-31,1323.1786368727599
2024-04-30,1192.9524409722221
2024-05-31,1317.7771538978495
2024-06-30,1600.6999780092592
2024-07-31,1591.1676803315413
2024-08-31,1362.9546292562723
2024-09-30,1221.0816377314814
2024-10-31,1005.1198700716845
2024-11-30,1092.6084386574075
2024-12-31,1133.6667820340501